# h00,h01,h02,h10,h11,h12,h20,h21,h22
5.759342014789581299e-02,-9.511435776948928833e-02,-2.027232199907302856e-02,-7.455588132143020630e-02,-7.993080019950866699e-01,-2.128359824419021606e-01,6.557068973779678345e-02,-9.653367102146148682e-02,-1.211061142385005951e-02
-6.994442082941532135e-03,1.426595542579889297e-02,5.582405719906091690e-04,4.123804718255996704e-02,-1.612532585859298706e-01,-2.320779487490653992e-02,3.288683248683810234e-03,7.177858613431453705e-03,7.168635725975036621e-02
-2.362729567551014043e-09,-3.926969327494589379e-08,-3.297121153877924371e-08,2.173686652895412408e-08,8.329946510343688715e-09,1.254262205208078740e-08,1.138150462764997428e-08,8.809579732371730643e-09,1.550572292785545869e-08
1.264099148102104664e-03,-5.123574286699295044e-03,6.958825048059225082e-03,-2.127145230770111084e-02,-6.826751679182052612e-02,-1.572043076157569885e-02,2.588840015232563019e-02,-1.460732519626617432e-02,-5.325928330421447754e-03
-4.935351682888722280e-09,-5.329396923769991190e-09,2.884726679752702694e-09,-3.010594440411296091e-09,-1.482412859132864469e-09,-4.972586786777810630e-09,-1.882665578989417554e-09,4.445074308634389126e-10,3.031242479245577215e-10
4.414838552474975586e-02,1.470870990306138992e-02,-1.617959327995777130e-02,5.081755667924880981e-02,9.993240237236022949e-02,4.973555356264114380e-02,-1.305796485394239426e-02,9.908982552587985992e-03,5.293557187542319298e-04
-9.709984064102172852e-03,-3.726282343268394470e-02,-5.950719118118286133e-02,7.246826309710741043e-03,-3.114194609224796295e-02,-1.203963905572891235e-02,-3.426973009482026100e-03,2.991923876106739044e-02,3.514601616188883781e-03
-2.279435840080168418e-08,-1.999251963979986613e-08,1.126932414052816966e-08,-2.683238164991053054e-08,-1.234126756344267051e-08,1.798269622099724074e-08,-1.050024422966089332e-08,1.542250216424179143e-09,2.201461946071958664e-08
2.617016434669494629e-02,3.330277977511286736e-03,-1.424902235157787800e-03,6.941275298595428467e-02,6.062579341232776642e-03,9.820172563195228577e-03,5.591695755720138550e-02,2.877683192491531372e-02,2.349298819899559021e-02
4.656806495972887205e-09,-2.195426134221634129e-07,-1.105239100240851258e-08,-6.788223316789299133e-08,-2.212666316836475744e-07,8.774833304414642043e-08,1.783223240181541769e-07,6.246474271165425307e-08,3.127646834855113411e-07
1.461220160126686096e-02,6.391624361276626587e-02,-4.621217399835586548e-02,1.006927639245986938e-01,-2.613398134708404541e-01,-1.337732523679733276e-01,1.350255496799945831e-02,6.762774288654327393e-02,-5.028935894370079041e-02
-6.965791544644162059e-05,8.398071676492691040e-02,4.015071690082550049e-02,4.228854179382324219e-02,4.400056973099708557e-02,4.424124956130981445e-02,5.519387125968933105e-02,2.556692995131015778e-02,3.765990212559700012e-02
-2.994691953063011169e-02,-6.688009947538375854e-02,-1.836056634783744812e-02,-3.045750595629215240e-02,-1.581542789936065674e-01,-5.185133963823318481e-02,1.561090350151062012e-03,-3.267648816108703613e-02,2.458605542778968811e-02
